RW,RQWt,RQBt,MQWt,LW,LQWt,LQBt,max_energy_eV,max_photocurrent,quality_factor,prominence
8,9.003111054889927800e+00,1.171999999999999931e+00,8.203999999999998849e+00,7,7.277739933373486458e+00,7.910999999999999588e+00,1.000000062398613138e-01,0.000000000000000000e+00,2.150075252633841625e-04,0.000000000000000000e+00
7,7.832782878316933761e+00,6.152999999999999581e+00,8.538405869644376978e+00,4,5.993842131906129467e+00,7.747572442057191644e+00,4.636000289279970730e+02,1.804143599466569563e-12,1.462460567823341684e+01,1.003766308673811558e+00
2,2.062569964140815948e+00,3.731999210804252343e+00,5.876753782596316533e+00,4,3.534663282779446192e+00,9.063645241949325637e+00,4.431000276488254599e+02,1.454761459365671987e-10,0.000000000000000000e+00,5.262862646876400596e-01
7,3.808999999999999719e+00,1.585531439534511922e+00,7.032000000000000028e+00,5,2.050999999999999712e+00,9.869496082943882698e+00,4.657000290590342502e+02,3.248980689409359489e-13,4.801030927835050477e+01,1.423036504239102995e-01
3,9.668999999999998707e+00,7.910999999999999588e+00,9.375999999999999446e+00,8,3.593763259763739004e+00,9.375999999999999446e+00,4.549000283851291329e+02,1.593666576880183810e-12,2.274499999999872216e+03,7.406187688238965441e-04
8,3.808999999999999719e+00,1.758000000000000007e+00,7.495716567179803391e+00,5,2.050999999999999712e+00,5.566999999999999282e+00,4.978000310620297455e+02,6.135984424599973358e-13,3.318666666666543961e+02,2.039690054456347323e-01
1,2.051029564825459950e+00,3.808999999999999719e+00,5.859999999999999432e+00,3,5.617576598048881209e+00,7.038471413948598432e+00,4.381000273368323974e+02,5.677568060053497523e-12,5.920270270270255963e+01,8.243019932304488373e-01
7,7.901364460747819507e+00,1.288993524152456605e+00,7.910999999999999588e+00,4,5.469254915001148909e+00,4.980999999999999872e+00,1.000000062398613138e-01,0.000000000000000000e+00,2.185792349726775412e-04,0.000000000000000000e+00
7,2.343999999999999861e+00,5.859999999999999432e+00,3.222999999999999865e+00,3,2.160708763001781385e+00,7.032000000000000028e+00,3.349000208972955761e+02,1.826170289048972445e-11,0.000000000000000000e+00,2.157825037392529371e-02
1,3.008480530153609500e+00,3.222999999999999865e+00,7.032000000000000028e+00,4,5.566999999999999282e+00,5.859999999999999432e+00,4.680000292025509907e+02,5.024776032123512878e-13,1.435582822085886612e+01,9.229459377569779743e-01
7,2.031348610631949381e+00,7.032000000000000028e+00,2.637000000000000011e+00,6,1.433842951394464382e+00,4.993120740579813699e+00,3.911000244040976668e+02,1.618117873203809249e-11,3.760576923076897060e+01,6.781398618040690440e-01
1,2.637000000000000011e+00,1.254643787733472848e+00,6.722246217403683666e+00,4,5.548336717297351228e+00,6.465346052027546975e+00,4.968000309996310762e+02,2.554359259762677914e-13,5.582022471910102723e+01,4.128166779222134375e-01
6,1.464999999999999858e+00,6.623215844474257707e+00,2.637000000000000011e+00,2,9.668999999999998707e+00,5.298794749627115053e+00,4.672000291526320552e+02,2.945163284650060254e-11,7.535483870967732400e+01,9.216529852416338597e-01
2,4.687999999999999723e+00,7.910999999999999588e+00,2.929999999999999716e+00,2,6.368236745019632217e+00,2.343999999999999861e+00,4.282000267190861678e+02,2.523713759137075518e-12,9.308695652173734914e+01,1.320921294489986630e+00
8,6.072130167471152085e+00,7.644252245155023218e+00,6.952645328567867544e+00,4,2.080342530736833950e+00,5.566999999999999282e+00,4.878000304380435068e+02,3.590068957599473551e-12,6.968571428570188573e+02,4.312150820625070269e-01
7,2.050999999999999712e+00,2.239261520934373806e+00,2.637000000000000011e+00,6,1.758000000000000007e+00,5.598777383810356945e+00,3.589000223948623329e+02,1.956308144168275733e-10,0.000000000000000000e+00,8.876196462701981815e-01
4,3.631079571124139260e+00,6.149176512935656369e+00,2.581984641067072594e+00,8,5.756660591510250669e+00,9.911665659402514095e+00,4.201000262136573724e+02,2.033748231609452460e-10,0.000000000000000000e+00,1.656609672222773444e+00
2,2.653439886600679642e+00,1.114661269591135095e+00,6.738600018668988056e+00,4,3.450448154731737382e+00,9.672514420647656763e+00,4.913000306564387074e+02,4.999839453926295490e-13,2.959638554216853734e+01,7.122728763149405173e-01
4,2.143894198402122253e+00,8.784641837047448831e+00,6.445999999999999730e+00,2,3.249858307574379435e+00,1.623578896935621518e+00,4.866000303631651036e+02,1.955862313254190133e-13,6.693259972489681076e+00,1.074849850247198368e+00
6,4.713551470007177002e+00,7.920829730864950236e+00,3.219925046120044154e+00,1,3.531347893054204157e+00,2.450772798783331208e+00,4.205000262386168970e+02,3.998260893806010654e-10,1.752083333333359576e+02,1.547006956848650527e-01
6,7.849391569255745438e+00,6.191123860175303584e+00,7.910999999999999588e+00,5,3.661337388656961345e+00,4.980999999999999872e+00,4.920000307001177475e+02,1.585965854397482802e-15,4.919999999998325620e+03,6.753376366529234265e-06
5,3.738968465424797216e+00,6.590399970346891401e+00,2.637000000000000011e+00,4,9.393664260717573100e+00,9.668999999999998707e+00,4.873000304068443143e+02,3.921633841603851070e-10,4.872999999995572580e+03,4.412159275767873479e-01
3,1.914403729262483811e+00,7.079491421619301228e+00,2.636539035844110312e+00,5,3.516000000000000014e+00,1.707320787878895629e+00,4.999000311930667522e+02,2.100505913900128361e-12,5.846783625730990863e+00,1.053329111442077526e+00
2,9.668999999999998707e+00,7.863171224632278467e+00,9.624646627048358383e+00,9,6.445999999999999730e+00,9.375999999999999446e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8,3.558410065655714938e+00,1.578610405926173410e+00,7.409754115126599316e+00,2,2.334492378733218132e+00,1.416524142316415436e+00,4.999000311930667522e+02,6.847272457443958221e-15,1.322486772486771933e+01,8.199328392084475059e-01
8,3.808999999999999719e+00,6.551926056769339368e+00,7.032000000000000028e+00,5,2.050999999999999712e+00,7.879222613428952471e+00,4.996000311743471798e+02,5.191321629155999216e-12,4.898039215686245740e+01,1.148849776017704327e+00
7,7.795919271773039227e+00,5.863823487064341755e+00,7.673150771362978517e+00,3,1.570815060848791855e+00,4.948530173916980246e+00,4.982000310869890995e+02,2.973031380779770725e-15,0.000000000000000000e+00,0.000000000000000000e+00
5,1.448534023636299128e+00,6.592236295811852997e+00,2.637405330274492421e+00,2,9.662734388271609021e+00,9.286889764740797304e+00,4.515000281729737708e+02,1.802353458616832826e-10,0.000000000000000000e+00,3.917537186039147468e+00
7,9.752747519612718463e+00,7.785490712681312431e+00,2.637000000000000011e+00,2,1.464999999999999858e+00,9.226703266584854290e+00,1.000000062398613138e-01,0.000000000000000000e+00,2.215330084182543424e-04,0.000000000000000000e+00
3,2.318448865488367261e+00,5.850170268313837241e+00,2.933074953879955427e+00,3,1.449778004266741194e+00,5.758737947629507303e+00,4.351000271496366167e+02,1.483566095618733154e-12,1.576449275362318048e+01,2.349810817777699956e-01
3,9.606093093054212773e+00,7.872876139732656320e+00,9.375999999999999446e+00,8,5.499425871138482691e+00,9.375999999999999446e+00,1.000000062398613138e-01,0.000000000000000000e+00,2.215330084182543424e-04,0.000000000000000000e+00
7,1.535195808108956728e+00,1.758000000000000007e+00,7.032000000000000028e+00,2,2.297250255845031397e+00,5.242205740803828284e+00,4.999000311930667522e+02,4.688913759448248610e-13,1.110888888888875670e+02,4.086841806606770211e-01
7,4.824629636069192706e+00,7.863508578380689507e+00,3.109205364003820637e+00,2,1.758000000000000007e+00,8.557563679254464262e+00,4.195000261762182276e+02,5.923269573385866871e-09,8.389999999998098019e+02,6.809454759542251656e-01
2,2.636970435174778249e+00,1.014608717166192609e+00,6.487243067834072896e+00,5,2.819247979408385341e+00,9.083000000000000185e+00,4.353000271621163506e+02,3.917613108652304035e-12,0.000000000000000000e+00,9.244018084249252531e-01
4,9.829898147185694768e+00,7.808012218593809450e+00,6.445999999999999730e+00,4,2.060507621266781442e+00,5.620421809514638767e+00,1.000000062398613138e-01,0.000000000000000000e+00,2.205071664829106497e-04,0.000000000000000000e+00
7,4.823405623772950790e+00,7.863508578380689507e+00,3.109205364003820637e+00,1,2.009729584347351938e+00,8.701408678690885523e+00,4.207000262510966309e+02,2.756766902261203286e-10,2.103500000000061618e+02,7.650982123694337333e-02
5,2.345750682668354070e+00,5.862860285705266072e+00,2.641259167542417519e+00,2,9.658427391744519142e+00,9.286889764740797304e+00,4.738000295644628750e+02,1.044924270321492966e-10,3.072632944228274265e+00,1.087617082520926370e+00
8,3.808999999999999719e+00,6.563947673813133932e+00,7.032000000000000028e+00,5,5.575802361692328013e+00,4.945193554869293351e+00,4.828000301260504443e+02,1.020358488079358878e-12,2.463265306122446319e+01,9.938456468745080485e-01
5,3.738968465424797216e+00,6.590399970346891401e+00,2.262446716658971013e+00,1,9.667645067926237346e+00,5.099027715703249086e+00,4.701000293335881111e+02,8.861528091895612948e-12,4.654455445544568448e+01,9.634787630079473253e-01
2,4.671583135977910750e+00,8.787830754858083182e+00,3.524410761761823885e+00,2,6.605831876929698865e+00,2.343999999999999861e+00,4.805000299825335901e+02,1.030592814639709007e-12,8.673285198555948483e+00,1.016836593345793682e+00
7,1.758000000000000007e+00,8.233098128582392761e+00,2.637000000000000011e+00,3,1.464999999999999858e+00,9.350912108602827288e+00,3.021000188506210407e+02,1.127626158391353733e-10,3.153444676409188130e+00,1.170205493713092615e+01
6,1.464999999999999858e+00,6.661887976952502122e+00,2.637000000000000011e+00,2,9.191764742549795031e+00,4.990549644385241734e+00,4.793000299076552437e+02,6.872285934972163988e-12,3.994166666666687604e+01,9.249236209146611820e-01
7,1.541815193637095627e+00,1.758000000000000007e+00,7.032000000000000028e+00,2,2.352769069361467569e+00,5.345663530860952584e+00,4.999000311930667522e+02,4.688913759448248610e-13,1.110888888888875670e+02,4.086841806606770211e-01
5,1.448534023636299128e+00,6.217437076961600972e+00,2.907833935531290770e+00,2,9.662734388271609021e+00,9.286889764740797304e+00,4.599000286971221385e+02,7.666871370300090391e-11,1.892592592592585632e+01,1.215424415362742261e+00
7,4.441004263483604220e+00,7.863508578380689507e+00,3.109205364003820637e+00,2,2.074313945985865715e+00,8.557563679254464262e+00,4.240000264570119839e+02,5.179627550650016180e-10,2.494117647058808416e+02,9.856413986274738248e-02
8,3.110277455913264433e+00,1.758000000000000007e+00,7.495716567179803391e+00,5,1.621773974828844445e+00,5.423147000600550882e+00,1.000000062398613138e-01,0.000000000000000000e+00,2.316423442205235337e-04,0.000000000000000000e+00
7,1.446783579479355542e+00,6.589376010106586357e+00,3.177705225247770215e+00,3,1.453916285384973861e+00,7.058795130721150279e+00,3.369000210220928011e+02,5.522807120604925184e-12,0.000000000000000000e+00,4.188104436700917255e+00
7,6.590549112008416088e+00,6.140978382956204129e+00,8.286399193222690585e+00,5,1.839260130159786844e+00,7.915029009304873853e+00,4.826000301135707673e+02,1.468307864020429101e-11,8.774545454545462064e+01,1.135299818410866246e+00
